Country,Social Support,Freedom to Make Life Choices,Generosity,Perceptions of Corruption,Year
United States,0.902,0.866,0.221,0.702,2021
United States,0.904,0.849,0.219,0.698,2021
United States,0.897,0.758,0.144,0.739,2021
United States,0.921,0.868,0.197,0.681,2021
United States,0.904,0.825,0.116,0.71,2021
United States,0.917,0.836,0.144,0.707,2021
United States,0.937,0.85,0.034,0.678,2021
Uruguay,0.912,0.807,-0.113,0.477,2021
Uruguay,0.875,0.786,-0.165,0.614,2021
Uruguay,0.879,0.808,-0.143,0.597,2021
Uruguay,0.924,0.825,-0.118,0.544,2021
Uruguay,0.893,0.832,-0.158,0.471,2021
Uruguay,0.891,0.851,-0.08,0.556,2021
Uruguay,0.865,0.871,0.067,0.615,2021
Uruguay,0.917,0.888,-0.043,0.586,2021
Uruguay,0.902,0.904,-0.073,0.533,2021
Uruguay,0.891,0.917,-0.032,0.673,2021
Uruguay,0.9,0.886,-0.072,0.676,2021
Uruguay,0.914,0.898,-0.091,0.627,2021
Uruguay,0.917,0.876,-0.097,0.683,2021
Uruguay,0.933,0.903,-0.095,0.599,2021
Uruguay,0.921,0.908,-0.084,0.491,2021
Uzbekistan,0.903,0.784,-0.115,0.609,2021
Uzbekistan,0.924,0.934,0.042,0.522,2021
Uzbekistan,0.933,0.914,-0.037,0.463,2021
Uzbekistan,0.963,0.95,-0.034,0.434,2021
Uzbekistan,0.952,0.954,0.061,0.536,2021
Uzbekistan,0.968,0.98,0.375,0.471,2021
Uzbekistan,0.942,0.985,0.123,0.465,2021
Uzbekistan,0.921,0.97,0.318,0.52,2021
Uzbekistan,0.915,0.97,0.304,0.511,2021
Venezuela,0.946,0.798,-0.031,0.646,2021
Venezuela,0.922,0.678,-0.225,0.776,2021
Venezuela,0.945,0.677,-0.116,0.828,2021
Venezuela,0.932,0.768,-0.155,0.754,2021
Venezuela,0.931,0.766,-0.226,0.772,2021
Venezuela,0.932,0.804,-0.193,0.743,2021
Venezuela,0.896,0.642,-0.22,0.837,2021
Venezuela,0.904,0.57,-0.199,0.827,2021
Venezuela,0.911,0.512,-0.117,0.813,2021
Venezuela,0.902,0.458,-0.155,0.89,2021
Venezuela,0.896,0.636,-0.169,0.844,2021
Vietnam,0.856,0.918,0.089,0.754,2021
Vietnam,0.805,0.889,0.201,0.789,2021
Vietnam,0.815,0.834,-0.062,0.838,2021
Vietnam,0.787,0.831,-0.006,0.743,2021
Vietnam,0.898,0.818,0.105,0.742,2021
Vietnam,0.775,0.856,-0.11,0.815,2021
Vietnam,0.759,0.92,-0.027,0.771,2021
Vietnam,0.876,0.894,-0.09,0.799,2021
Vietnam,0.832,0.909,-0.041,0.808,2021
Vietnam,0.848,0.952,-0.126,0.788,2021
Yemen,0.756,0.644,-0.052,0.832,2021
Yemen,0.727,0.659,-0.104,0.853,2021
Yemen,0.663,0.638,-0.173,0.754,2021
Yemen,0.682,0.706,-0.171,0.793,2021
Yemen,0.694,0.543,-0.179,0.885,2021
Yemen,0.638,0.664,-0.157,0.885,2021
Yemen,0.669,0.61,-0.139,0.829,2021
Zambia,0.798,0.721,-0.006,0.785,2021
Zambia,0.688,0.682,-0.067,0.948,2021
Zambia,0.624,0.717,0.056,0.89,2021
Zambia,0.782,0.696,-0.096,0.917,2021
Zambia,0.864,0.663,0.003,0.882,2021
Zambia,0.78,0.788,0.008,0.806,2021
Zambia,0.761,0.77,-0.104,0.732,2021
Zambia,0.706,0.812,-0.011,0.809,2021
Zambia,0.691,0.759,-0.039,0.871,2021
Zambia,0.767,0.812,0.122,0.771,2021
Zambia,0.744,0.823,0.14,0.74,2021
Zambia,0.718,0.791,0.048,0.811,2021
Zambia,0.638,0.811,0.077,0.832,2021
Zambia,0.767,0.75,0.056,0.81,2021
Zimbabwe,0.822,0.431,-0.076,0.905,2021
Zimbabwe,0.828,0.456,-0.082,0.946,2021
Zimbabwe,0.843,0.344,-0.09,0.964,2021
Zimbabwe,0.806,0.411,-0.078,0.931,2021
Zimbabwe,0.857,0.665,-0.093,0.828,2021
Zimbabwe,0.865,0.633,-0.088,0.83,2021
Zimbabwe,0.896,0.47,-0.103,0.859,2021
Zimbabwe,0.799,0.576,-0.104,0.831,2021
Zimbabwe,0.766,0.642,-0.074,0.82,2021
Zimbabwe,0.736,0.667,-0.123,0.81,2021
Zimbabwe,0.768,0.733,-0.095,0.724,2021
Zimbabwe,0.754,0.753,-0.098,0.751,2021
Zimbabwe,0.775,0.763,-0.068,0.844,2021
Zimbabwe,0.759,0.632,-0.064,0.831,2021
Zimbabwe,0.717,0.643,-0.009,0.789,2021
